VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1485,CASTLE BRANDS CORP.,4639,Jeffersons  Ocean Bourbon,58.82,79.99,750.0,191,11234.619999999999,198.0,15838.019999999999,6079.24,156.02,8497.59,4603.4,29.06550187460301,1.036649214659686,1.4097512866478794,58.81999999999999,Large,-411.74
2555,DISARONNO INTERNATIONAL LLC,1212,DiSaronna Amaretto Sour VAP,14.38,21.99,750.0,516,7420.08,352.0,7680.48,4084.1299999999997,277.3,5861.03,260.39999999999964,3.390413099181297,0.6821705426356589,1.0350939612510917,14.379999999999999,Large,2358.32
8004,SAZERAC CO INC,2983,T.T. Handy Sazerac Rye Whisk,59.25,79.99,750.0,93,5510.25,93.0,8369.07,89.99,73.24,50293.62,2858.8199999999997,34.159351039004335,1.0,1.518818565400844,59.25,Large,0.0
12546,JIM BEAM BRANDS COMPANY,1005,Maker's Mark Combo Pack,27.34,34.99,375.0,195,5331.3,162.0,5668.38,2869.1800000000003,63.6,123880.97,337.0799999999999,5.946672594286197,0.8307692307692308,1.0632266051432109,27.34,Large,902.22
10754,PERFECTA WINES,10264,Fort Ross Pnt Nr Sonoma Cst,19.6,29.99,750.0,255,4998.0,178.0,5338.219999999999,2729.0899999999997,19.79,28720.52,340.21999999999935,6.373285477181521,0.6980392156862745,1.0680712284913965,19.6,Large,1509.2
1703,ALISA CARR BEVERAGES,90087,Ch Mouton Rothschild 12 Paui,311.25,469.99,750.0,15,4668.75,17.0,7989.83,1879.96,1.9100000000000001,172.0,3321.08,41.56634121126482,1.1333333333333333,1.711342436412316,311.25,Medium,-622.5
10754,PERFECTA WINES,15688,Cheval Blanc St Emilion 08,299.99,499.99,750.0,12,3599.88,10.0,4499.9,449.99,1.12,28720.52,900.0199999999995,20.000888908642406,0.8333333333333334,1.250013889351867,299.99,Medium,599.98
653,STATE WINE & SPIRITS,23256,Robert Hall Cab Svgn,9.39,13.99,750.0,363,3408.57,257.0,3595.43,1468.95,28.66,8014.9800000000005,186.85999999999967,5.197153052625129,0.7079889807162535,1.0548206432609568,9.39,Large,995.34
90047,CRUSH WINES,23218,Tangent Chard,6.7,9.99,750.0,468,3135.6,335.0,3346.65,1588.41,37.34,1457.73,211.05000000000018,6.306306306306311,0.7158119658119658,1.0673076923076923,6.7,Large,891.1
4425,MARTIGNETTI COMPANIES,33717,Domaine Pallieres Gigondas R,31.97,51.99,750.0,98,3133.06,72.0,3383.28,563.88,8.07,144929.24,250.22000000000025,7.395781608380041,0.7346938775510204,1.0798644137041742,31.97,Large,831.22
480,BACARDI USA INC,2679,Dewars Highlander Honey,14.28,22.99,750.0,206,2941.6800000000003,385.0,7595.15,5083.45,303.47,89286.27,4653.469999999999,61.26896769649052,1.8689320388349515,2.581908977183106,14.280000000000001,Large,-2556.12
3664,WILLIAM GRANT & SONS INC,8385,Glenfiddich 1978 Rare Collct,2713.17,3499.99,750.0,1,2713.17,1.0,3499.99,3499.99,0.79,30234.420000000002,786.8199999999997,22.48063565895902,1.0,1.2900002580007885,2713.17,Small,0.0
9165,ULTRA BEVERAGE COMPANY LLP,22601,Jos Phelps Insignia 11,121.61,179.99,750.0,22,2675.42,17.0,3059.83,1619.91,1.8900000000000001,68054.7,384.40999999999985,12.563116251556455,0.7727272727272727,1.143682113462559,121.61,Large,608.05
4425,MARTIGNETTI COMPANIES,18097,Shafer Relentless Syrah,55.17,79.99,750.0,47,2592.99,32.0,2751.68,1375.84,3.55,144929.24,158.69000000000005,5.767022328177697,0.6808510638297872,1.0611996189726918,55.169999999999995,Large,827.5500000000001
4425,MARTIGNETTI COMPANIES,21277,Nicholson Ranch Chard Son Ct,13.79,19.99,750.0,171,2358.09,255.0,5021.45,2159.8999999999996,28.46,144929.24,2663.3599999999997,53.039659859204015,1.4912280701754386,2.1294564668863356,13.790000000000001,Large,-1158.36
9165,ULTRA BEVERAGE COMPANY LLP,38137,Lange RSV Willamette Pnt Nr,19.99,31.99,750.0,117,2338.83,79.0,2406.21,712.77,8.84,68054.7,67.38000000000011,2.8002543418903634,0.6752136752136753,1.0288092764330883,19.99,Large,759.6199999999999
9552,M S WALKER INC,32592,Mionetto Frizzante Prosecco,11.56,16.99,750.0,198,2288.88,127.0,2411.73,1443.2399999999998,14.09,55551.82,122.84999999999991,5.09385378960331,0.6414141414141414,1.0536725385341301,11.56,Large,820.76
