VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,123536,3245290.72,21468.0,772256.3200000001,104940.05,39444.979999999996,68601.68,-2473034.4000000004,-320.2349188932504,0.17377930319906748,0.23796213856612514
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,138114,3202863.66,24885.0,747395.59,87627.77,45723.69,144929.24,-2455468.0700000003,-328.5366013465507,0.1801772448846605,0.23335229636343618
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,157003,2863734.72,30222.0,731975.78,71917.62999999999,55530.43,123780.22,-2131758.9400000004,-291.2335350768027,0.19249313707381388,0.25560181077107585
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,172132,2783374.44,30231.0,675283.69,64196.84,55547.36,257032.07,-2108090.75,-312.1785378823529,0.17562684451467478,0.24261331148819487
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,117401,2569907.89,21412.0,666008.88,86718.41,39342.04,257032.07,-1903899.0100000002,-285.8669106634134,0.1823834549961244,0.2591567124220938
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,116475,2069760.75,22711.0,540959.39,71663.79999999999,17882.27,89286.27,-1528801.3599999999,-282.6092657343465,0.19498604850826357,0.26136324693566637
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,59782,1838894.32,11079.0,440102.21,96591.17,20356.25,123780.22,-1398792.11,-317.8334664577122,0.18532334147402227,0.23932980009422183
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,135969,1759438.86,22804.0,398878.96,45808.049999999996,41900.08,257032.07,-1360559.9000000001,-341.09593045469234,0.16771469967419045,0.22670805395306545
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,77910,1615074.3,14020.0,409726.8,79405.06,25759.559999999998,257032.07,-1205347.5,-294.18322160034444,0.1799512257733282,0.2536891336825804
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,92814,1511940.06,16981.0,385466.19,66406.14,31199.88,123880.97,-1126473.87,-292.2367510364528,0.1829573124744112,0.2549480632188554
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,79211,1300644.62,14725.0,347081.75,68363.97,11593.23,123780.22,-953562.8700000001,-274.73725426358493,0.18589589829695372,0.26685363908244203
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,59200,1268064.0,11697.0,365043.02999999997,78765.83,21491.489999999998,89286.27,-903020.97,-247.37384247550213,0.19758445945945946,0.28787429498826556
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,56559,1265790.42,9229.0,276436.71,68733.20999999999,16957.05,257032.07,-989353.71,-357.8951977832466,0.16317473788433318,0.21839058475414913
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,182089,1232742.53,33607.0,364877.37,29287.79,3778.1,17587.59,-867865.16,-237.85118819509142,0.18456359252892815,0.29598830341320337
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,36303,1227404.43,6382.0,307739.18,103177.66,5024.43,68054.7,-919665.25,-298.8456815930945,0.1757981434041264,0.25072353698446403
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,51422,1186305.54,9632.0,296933.68,80655.95999999999,17696.87,123780.22,-889371.8600000001,-299.51868713579415,0.1873128233052001,0.2503011829481973
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,26358,1180047.66,4573.0,280794.27,79057.34,8402.89,257032.07,-899253.3899999999,-320.2534688474946,0.17349571287654603,0.2379516349365076
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,53732,1167596.36,10048.0,319191.52,78012.32,18461.85,257032.07,-848404.8400000001,-265.7980512765502,0.1870021588625028,0.2733748844506504
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,39506,1140933.28,7587.0,297875.13,93360.35,13939.97,257032.07,-843058.15,-283.0240141229649,0.19204677770465245,0.26108023599767377
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,65718,1094861.88,11680.0,242316.7,18911.92,21461.4,257032.07,-852545.1799999999,-351.8309633632349,0.17772908487781125,0.2213217068074377
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,48167,1077977.46,8659.0,268932.91,70963.98,15909.77,89286.27,-809044.55,-300.83508559811446,0.17977038221188782,0.24947915886849803
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,27687,1059581.49,5047.0,260653.53,90752.75,9273.56,89286.27,-798927.96,-306.5095492855976,0.182287716256727,0.24599668119910248
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,52705,1028801.6,9533.0,237578.66999999998,61933.32,17515.16,18544.49,-791222.9299999999,-333.0361812363038,0.1808746798216488,0.2309275860379688
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,82493,1007239.53,14880.0,243544.2,48370.63,27339.13,123880.97,-763695.3300000001,-313.57565895636196,0.18037894124349946,0.24179372705914354
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,84146,989556.96,15383.0,252481.16999999998,48048.82,28263.69,123880.97,-737075.79,-291.9329746451983,0.1828132056188054,0.25514566640004227
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,49119,989256.66,9205.0,275137.95,46569.98,9665.25,89286.27,-714118.71,-259.5493315262398,0.1874020236568334,0.2781259516615233
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,50204,988516.76,9045.0,238398.55,66768.84,16618.54,38994.78,-750118.21,-314.6488139294471,0.18016492709744245,0.2411679393276043
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,65255,945544.95,11820.0,255705.8,55102.799999999996,21717.61,89286.27,-689839.1499999999,-269.77845242462234,0.18113554516895258,0.2704321989134414
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,34274,932252.8,5862.0,240958.21,53583.060000000005,657.21,48347.26,-691294.5900000001,-286.89397634552483,0.17103343642411156,0.2584687436712445
